seed,n_d,mean_total_wait_min
3,600,0.18921989746430726
3,610,0.18015054362976235
3,620,0.1749727965179421
3,630,0.16613243357232219
3,640,0.16193467336682413
3,650,0.16516716499047604
3,660,0.15431684828163375
3,670,0.14625831485586804
3,680,0.1456086286594682
3,690,0.14252491694351427
3,700,0.13904052936310268
3,710,0.12979930795847136
3,720,0.1261154318460848
3,730,0.12123693871787143
3,740,0.11546536039187824
3,750,0.11746688741721385
3,760,0.10798980025499036
3,770,0.11127946127945759
3,780,0.10871021775544053
3,790,0.10665099557521789
3,800,0.1032163742690031
4,400,0.9646592036276339
4,410,0.7189408797982725
4,420,0.7560115289596552
4,430,0.5249896793725106
4,440,0.41413183972426176
4,450,0.4207575967809152
4,460,0.4003254678600526
4,470,0.3549005880705654
4,480,0.3415308096159133
4,490,0.29796708615680867
4,500,0.2950303699613304
4,510,0.28780521642617307
4,520,0.2428832373190769
4,530,0.2384315906562669
4,540,0.24152296868531753
4,550,0.2305768179332792
4,560,0.221243235743011
4,570,0.20280677009871587
4,580,0.19500622492736217
4,590,0.19391508781633268
4,600,0.19102261690022204
4,610,0.18188516613372896
4,620,0.17787828947367215
4,630,0.17385576531303984
4,640,0.16336218933257884
4,650,0.15726315789472786
4,660,0.15549716498408694
4,670,0.15577240241890178
4,680,0.1369954223886737
4,690,0.14044197396962355
4,700,0.14075966850827984
4,710,0.13000560067207448
4,720,0.12680540242557295
4,730,0.12446764665475467
4,740,0.12053796581675058
4,750,0.11528165086446869
4,760,0.11415633272954866
4,770,0.1138016528925576
4,780,0.10764778834228672
4,790,0.10591666666666358
4,800,0.09822784810126395
5,400,1.0924896265560302
5,410,0.9347408026756236
5,420,0.8932720886247266
5,430,0.497623019182662
5,440,0.47266610597142206
5,450,0.4365347885402541
5,460,0.39594519789648785
5,470,0.38674450549450917
5,480,0.3540408958130461
5,490,0.31199498467538433
5,500,0.2974394850986259
5,510,0.2644118484761977
5,520,0.27737677292512997
5,530,0.24852046460175078
5,540,0.23465550370571978
